round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,res9,cifar10,1.0,0,base.2,0.991437
1,0,1,res9,cifar10,1.0,1,base.6,0.941826
1,0,1,res9,cifar10,1.0,2,base.7,0.779552
1,0,1,res9,cifar10,1.0,3,base.11,0.556447
1,0,1,res9,cifar10,1.0,4,base.15,0.397185
1,0,1,res9,cifar10,1.0,5,base.16,0.306167
1,0,1,res9,cifar10,1.0,6,base.17,0.306167
1,0,1,res9,cifar10,1.0,7,base.18,0.306167
1,0,1,res9,cifar10,1.0,8,classifier,0.434732
1,0,2,res9,cifar10,1.0,0,base.2,0.985414
1,0,2,res9,cifar10,1.0,1,base.6,0.956521
1,0,2,res9,cifar10,1.0,2,base.7,0.683815
1,0,2,res9,cifar10,1.0,3,base.11,0.488808
1,0,2,res9,cifar10,1.0,4,base.15,0.433654
1,0,2,res9,cifar10,1.0,5,base.16,0.450712
1,0,2,res9,cifar10,1.0,6,base.17,0.450712
1,0,2,res9,cifar10,1.0,7,base.18,0.450712
1,0,2,res9,cifar10,1.0,8,classifier,0.682884
1,0,3,res9,cifar10,1.0,0,base.2,0.966046
1,0,3,res9,cifar10,1.0,1,base.6,0.841404
1,0,3,res9,cifar10,1.0,2,base.7,0.488128
1,0,3,res9,cifar10,1.0,3,base.11,0.278323
1,0,3,res9,cifar10,1.0,4,base.15,0.211292
1,0,3,res9,cifar10,1.0,5,base.16,0.255073
1,0,3,res9,cifar10,1.0,6,base.17,0.255073
1,0,3,res9,cifar10,1.0,7,base.18,0.255073
1,0,3,res9,cifar10,1.0,8,classifier,0.403557
1,0,4,res9,cifar10,1.0,0,base.2,0.979267
1,0,4,res9,cifar10,1.0,1,base.6,0.939939
1,0,4,res9,cifar10,1.0,2,base.7,0.834189
1,0,4,res9,cifar10,1.0,3,base.11,0.699895
1,0,4,res9,cifar10,1.0,4,base.15,0.559304
1,0,4,res9,cifar10,1.0,5,base.16,0.542095
1,0,4,res9,cifar10,1.0,6,base.17,0.542095
1,0,4,res9,cifar10,1.0,7,base.18,0.542095
1,0,4,res9,cifar10,1.0,8,classifier,0.780262
1,0,5,res9,cifar10,1.0,0,base.2,0.991497
1,0,5,res9,cifar10,1.0,1,base.6,0.957616
1,0,5,res9,cifar10,1.0,2,base.7,0.673811
1,0,5,res9,cifar10,1.0,3,base.11,0.405764
1,0,5,res9,cifar10,1.0,4,base.15,0.310907
1,0,5,res9,cifar10,1.0,5,base.16,0.310202
1,0,5,res9,cifar10,1.0,6,base.17,0.310202
1,0,5,res9,cifar10,1.0,7,base.18,0.310202
1,0,5,res9,cifar10,1.0,8,classifier,0.597687
1,0,6,res9,cifar10,1.0,0,base.2,0.994620
1,0,6,res9,cifar10,1.0,1,base.6,0.970992
1,0,6,res9,cifar10,1.0,2,base.7,0.891620
1,0,6,res9,cifar10,1.0,3,base.11,0.748485
1,0,6,res9,cifar10,1.0,4,base.15,0.666279
1,0,6,res9,cifar10,1.0,5,base.16,0.657406
1,0,6,res9,cifar10,1.0,6,base.17,0.657406
1,0,6,res9,cifar10,1.0,7,base.18,0.657406
1,0,6,res9,cifar10,1.0,8,classifier,0.723906
1,0,7,res9,cifar10,1.0,0,base.2,0.985649
1,0,7,res9,cifar10,1.0,1,base.6,0.940913
1,0,7,res9,cifar10,1.0,2,base.7,0.731534
1,0,7,res9,cifar10,1.0,3,base.11,0.531151
1,0,7,res9,cifar10,1.0,4,base.15,0.375813
1,0,7,res9,cifar10,1.0,5,base.16,0.308974
1,0,7,res9,cifar10,1.0,6,base.17,0.308974
1,0,7,res9,cifar10,1.0,7,base.18,0.308974
1,0,7,res9,cifar10,1.0,8,classifier,0.601578
1,0,8,res9,cifar10,1.0,0,base.2,0.993403
1,0,8,res9,cifar10,1.0,1,base.6,0.973511
1,0,8,res9,cifar10,1.0,2,base.7,0.913994
1,0,8,res9,cifar10,1.0,3,base.11,0.800109
1,0,8,res9,cifar10,1.0,4,base.15,0.708521
1,0,8,res9,cifar10,1.0,5,base.16,0.717511
1,0,8,res9,cifar10,1.0,6,base.17,0.717511
1,0,8,res9,cifar10,1.0,7,base.18,0.717511
1,0,8,res9,cifar10,1.0,8,classifier,0.857776
1,0,9,res9,cifar10,1.0,0,base.2,0.993132
1,0,9,res9,cifar10,1.0,1,base.6,0.965542
1,0,9,res9,cifar10,1.0,2,base.7,0.901368
1,0,9,res9,cifar10,1.0,3,base.11,0.791979
1,0,9,res9,cifar10,1.0,4,base.15,0.731502
1,0,9,res9,cifar10,1.0,5,base.16,0.725535
1,0,9,res9,cifar10,1.0,6,base.17,0.725535
